device_timestamp,altitude,acceleration,ax_ms2,ay_ms2,az_ms2,altitude_filtered,acceleration_filtered,velocity_filtered
506.23,-64.36,10.02583672318675,-0.089,-0.435,10.016,0.45200000000000273,0.00444190903443193,-0.002047691663187265
506.26,-64.37,10.007341005481926,-0.084,-0.447,9.997,0.4500000000000023,0.004036869394846718,-0.001381024996521252
506.28,-64.36,10.00942855511742,-0.074,-0.428,10.0,0.44800000000000184,0.003988087694500777,-0.004658444351363176
506.30,-64.31,10.009388093185317,-0.103,-0.421,10.0,0.44520000000000154,0.005684306704486772,-0.008658444351352842
506.33,-64.31,10.014187935124845,-0.11,-0.438,10.004,0.4428000000000014,0.006300923099540441,-0.01799177768468498
506.35,-64.33,10.02642912506741,-0.096,-0.447,10.016,0.4424000000000018,0.0067216456727607725,-0.02663177768467953
506.37,-64.34,10.019822902626572,-0.089,-0.457,10.009,0.44120000000000176,0.006264127482096313,-0.03129844435134987
506.39,-64.38,10.021771549980572,-0.1,-0.431,10.012,0.4396000000000015,0.007735391893280266,-0.038217924870835855
506.42,-64.39,10.014691657759613,-0.072,-0.457,10.004,0.43760000000000104,0.007733484587758639,-0.050217924870847225
506.57,-64.39,10.012739385402979,-0.089,-0.455,10.002,0.4360000000000008,0.007529113003468666,-0.05955125820418019
506.59,-64.42,10.013979278987948,-0.089,-0.438,10.004,0.43480000000000074,0.007549739292949269,-0.06659125820417061
506.62,-64.42,10.009915334307278,-0.081,-0.438,10.0,0.4324000000000007,0.0067531072649145325,-0.07179125820417738
506.63,-64.43,10.012017628829865,-0.093,-0.438,10.002,0.42840000000000034,0.0074369866938128835,-0.06159905041196047
506.66,-64.43,10.011981272455518,-0.089,-0.438,10.002,0.42680000000000007,0.007590295215450809,-0.04799905041197987
506.68,-64.43,10.023641055025863,-0.1,-0.428,10.014,0.4248000000000002,0.007852470832119351,-0.03799905041197885
506.70,-64.39,10.03821109560862,-0.093,-0.443,10.028,0.4224000000000001,0.007896197214463073,-0.030159050411982094
506.72,-64.38,10.028524617310365,-0.072,-0.431,10.019,0.4184000000000003,0.008212784714611203,-0.02389238374531848
506.75,-64.38,10.024402924862907,-0.093,-0.447,10.014,0.4160000000000002,0.008045317259664272,-0.020571864264795434
